csv_row,isbn13,label,source,status,fields_found,fields_total,missing_fields,covers_written,reviews_written,genres_written,blurb_chars,warnings,book_url,error,out_dir
2,9780821716595,,audible,skipped,0,0,,0,0,0,0,1,,,data
3,9780312954154,,audible,skipped,0,0,,0,0,0,0,1,,,data
4,9780553259100,,audible,skipped,0,0,,0,0,0,0,1,,,data
5,9780671729592,,audible,skipped,0,0,,0,0,0,0,1,,,data
6,9780671736743,,audible,skipped,0,0,,0,0,0,0,1,,,data
7,9780671674885,,audible,skipped,0,0,,0,0,0,0,1,,,data
8,9780671730918,,audible,skipped,0,0,,0,0,0,0,1,,,data
9,9780394805719,,audible,skipped,0,0,,0,0,0,0,1,,,data
10,9780671740849,,audible,skipped,0,0,,0,0,0,0,1,,,data
11,9780590462280,,audible,skipped,0,0,,0,0,0,0,1,,,data
12,9780140341683,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
13,9780380777624,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
14,9780525465218,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
15,9780515107319,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
16,9780345280336,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
17,9780553283457,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
18,9781558175594,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
19,9780060804848,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
20,9780881501322,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
21,9780345364203,,audible,partial,6,7,origin,1,6,7,805,7,https://www.audible.com/pd/B-E-Audiobook/B00CLCNOQ2,,data
22,9780449126820,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
23,9780804102292,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
24,9780441001347,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
25,9780345353986,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
