csv_row,isbn13,label,source,status,fields_found,fields_total,missing_fields,covers_written,reviews_written,genres_written,blurb_chars,warnings,book_url,error,out_dir
2,9780821716595,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
3,9780312954154,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
4,9780553259100,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
5,9780671729592,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
6,9780671736743,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
7,9780671674885,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
8,9780671730918,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
9,9780394805719,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
10,9780671740849,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
11,9780590462280,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
12,9780140341683,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
13,9780380777624,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
14,9780525465218,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
15,9780515107319,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
16,9780345280336,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
17,9780553283457,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
18,9781558175594,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
19,9780060804848,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
20,9780881501322,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
21,9780345364203,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
22,9780449126820,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
23,9780804102292,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
24,9780441001347,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
25,9780345353986,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
26,9780553117660,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
27,9780671476991,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
28,9780440208778,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
29,9780553202694,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
30,9780812582703,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
31,9780394740799,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
32,9780380475308,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
