csv_row,isbn13,label,source,status,fields_found,fields_total,missing_fields,covers_written,reviews_written,genres_written,blurb_chars,warnings,book_url,error,out_dir
9496,9783518398906,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9497,9780373273263,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9498,9780345314307,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9499,9780312152345,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9500,9780451122667,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9501,9780679448587,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9502,9780373242276,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9503,9780805058369,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9504,9780373241712,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9505,9780440983750,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9506,9780373094233,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9507,9780373270620,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9508,9780373059430,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9509,9780373195909,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9510,9780553294583,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9511,9781853261534,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9512,9780060972882,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9513,9781899791378,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9514,9780062592378,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9515,9780830813780,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9516,9780425053508,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9517,9780802809704,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9518,9780393318555,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9519,9780830819799,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9520,9780749918514,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9521,9781565122031,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9522,9780553146509,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9523,9780373032778,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9524,9780914101024,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9525,9780373764099,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9526,9781857026740,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9527,9780373151547,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9528,9780373258833,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9529,9780749931483,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9531,9780352324344,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9532,9780752261942,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9533,9780679745358,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9534,9780385318730,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9535,9780586087862,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9536,9781558175600,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9537,9780671735814,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9538,9780380548743,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9539,9780713632316,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9540,9780373440313,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9541,9780895262370,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9542,9780812554625,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9543,9780312968106,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9544,9780445206182,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9545,9781587541162,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9546,9780312951580,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9547,9780671653514,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9548,9780373762095,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9549,9780553289862,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9550,9780425031742,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9551,9780452264076,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9552,9781560728917,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9553,9780553259919,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9554,9780385069502,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9555,9780345343345,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9556,9780821737422,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9557,9780380798858,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9558,9780553230574,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9559,9780758205957,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9560,9781895688597,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9561,9780373079148,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9562,9780446692465,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9563,9780380897100,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9564,9780393313611,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9565,9780441071814,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9566,9780373258796,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9567,9783548254074,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9568,9781559720373,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9569,9780821762936,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9570,9780446314213,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9571,9780373520718,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9572,9780345012517,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9573,9780373765775,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9574,9780373765553,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9575,9780821745854,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9576,9780671501143,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9577,9780821753101,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9578,9780374132774,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9579,9780425194188,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9580,9780689317460,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9581,9780373292660,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9582,9788484370048,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9583,9780373484768,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9584,9780380770229,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9585,9780373242146,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9586,9780449146538,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9587,9780449220573,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9588,9788320530711,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
